method	path	page_keys	action_keys	data_keys
GET	/api/maintenance/projects/stable/{project_id}/collection-milestones	page_maintenance		
POST	/api/maintenance/projects/stable/{project_id}/collections	page_maintenance	action_maintenance_roundtrip_apply	data_profit
POST	/api/maintenance/projects/stable/{project_id}/contracts	page_maintenance	action_maintenance_project_manage	data_profit
GET	/api/maintenance/projects/stable/{project_id}/cost-gaps	page_maintenance		
PATCH	/api/maintenance/projects/stable/{project_id}/cost-gaps	page_maintenance	action_maintenance_project_manage	data_purchase_cost
POST	/api/maintenance/projects/stable/{project_id}/cost-gaps/recompute	page_maintenance	action_maintenance_project_manage	data_purchase_cost
GET	/api/maintenance/projects/stable/{project_id}/expense-collection-workbook.xlsx	page_maintenance		
POST	/api/maintenance/projects/stable/{project_id}/expense-collection-workbook/apply	page_maintenance		data_profit
POST	/api/maintenance/projects/stable/{project_id}/expense-collection-workbook/validate	page_maintenance		data_profit
POST	/api/maintenance/projects/stable/{project_id}/expenses	page_maintenance	action_maintenance_roundtrip_apply	data_profit
PUT	/api/maintenance/projects/stable/{project_id}/expenses/readiness	page_maintenance	action_maintenance_roundtrip_apply	data_profit
GET	/api/maintenance/projects/stable/{project_id}/front-stock	page_maintenance		
POST	/api/maintenance/projects/stable/{project_id}/manager-assignment	page_maintenance	action_maintenance_project_manage	data_profit
GET	/api/maintenance/projects/stable/{project_id}/purchases	page_maintenance		
GET	/api/maintenance/projects/stable/{project_id}/recovery-summary	page_maintenance		
POST	/api/maintenance/projects/stable/{project_id}/restore	page_maintenance	action_maintenance_project_manage	data_profit
GET	/api/maintenance/projects/stable/{project_id}/return-rate	page_maintenance		
GET	/api/maintenance/projects/stable/{project_id}/salvages	page_maintenance		
POST	/api/maintenance/projects/stable/{project_id}/salvages	page_maintenance	action_maintenance_bad_return_manage	data_profit
POST	/api/maintenance/projects/stable/{project_id}/site-issues	page_maintenance	action_maintenance_site_issue_manage	data_purchase_cost
GET	/api/maintenance/projects/stable/{project_id}/tasks	page_maintenance		
GET	/api/maintenance/projects/stable/{project_id}/workbook	page_maintenance		
GET	/api/maintenance/projects/stable/{project_id}/workbook-v3.xlsx	page_maintenance		
POST	/api/maintenance/projects/stable/{project_id}/workbook/apply	page_maintenance	action_maintenance_roundtrip_apply	data_profit
POST	/api/maintenance/projects/stable/{project_id}/workbook/validate	page_maintenance	action_maintenance_roundtrip_apply	data_profit
GET	/api/maintenance/projects/stable/{project_id}/workspace	page_maintenance		
POST	/api/maintenance/recompute			
GET	/api/maintenance/reconcile/expenses	page_maintenance		
GET	/api/maintenance/return-categories	page_maintenance		
POST	/api/maintenance/return-obligations/search	page_maintenance		
POST	/api/maintenance/return-obligations/{obligation_id}/resolve-category	page_maintenance		
POST	/api/maintenance/roundtrip-import	page_maintenance	action_maintenance_roundtrip_apply	data_profit
GET	/api/maintenance/roundtrip-template	page_maintenance		
GET	/api/maintenance/roundtrip-templates	page_maintenance		
POST	/api/maintenance/salvages/{salvage_id}/void	page_maintenance	action_maintenance_bad_return_manage	data_profit
POST	/api/maintenance/site-issues/projects/{project_id}	page_maintenance	action_maintenance_site_issue_manage	data_purchase_cost
POST	/api/maintenance/site-issues/projects/{project_id}/candidates/search	page_maintenance		
POST	/api/maintenance/site-issues/search	page_maintenance		
PATCH	/api/maintenance/site-issues/{issue_id}	page_maintenance	action_maintenance_site_issue_manage	data_purchase_cost
POST	/api/maintenance/site-issues/{issue_id}/confirm	page_maintenance	action_maintenance_site_issue_manage	data_purchase_cost
POST	/api/maintenance/site-issues/{issue_id}/preview	page_maintenance	action_maintenance_site_issue_manage	data_purchase_cost
POST	/api/maintenance/site-issues/{issue_id}/void	page_maintenance	action_maintenance_site_issue_manage	data_purchase_cost
POST	/api/maintenance/warehouse-ambiguities/search	page_maintenance		
POST	/api/maintenance/warehouse-ambiguities/{ambiguity_id}/resolve	page_maintenance	action_maintenance_warehouse_manage	
POST	/api/maintenance/warehouse-documents/search	page_maintenance		
POST	/api/maintenance/warehouse-imports/preview	page_maintenance		
POST	/api/maintenance/warehouse-imports/{import_id}/apply	page_maintenance	action_maintenance_warehouse_manage	
POST	/api/maintenance/warehouse-integrations/reconcile	page_maintenance	action_maintenance_warehouse_manage	
POST	/api/maintenance/wbdd-imports	page_maintenance		
GET	/api/maintenance/wbdd-imports/latest	page_maintenance		
GET	/api/maintenance/workbook-validations/{validation_id}/errors.xlsx	page_maintenance	action_maintenance_roundtrip_apply	data_profit
GET	/api/replenishment-beta/applications			
POST	/api/replenishment-beta/applications		action_replenishment_create	data_pool_price_governance
GET	/api/replenishment-beta/applications/{application_id}			
PATCH	/api/replenishment-beta/applications/{application_id}		action_replenishment_create	data_pool_price_governance
GET	/api/replenishment-beta/applications/{application_id}/evidence		action_replenishment_create	data_pool_price_governance
GET	/api/replenishment-beta/applications/{application_id}/exports/manual-review.xlsx		action_replenishment_create	data_pool_price_governance
GET	/api/replenishment-beta/applications/{application_id}/exports/purchase-list.xlsx		action_replenishment_create	data_pool_price_governance
GET	/api/replenishment-beta/applications/{application_id}/exports/system-screening.xlsx		action_replenishment_create	data_pool_price_governance
GET	/api/replenishment-beta/applications/{application_id}/exports/wbdd-subset.xlsx		action_replenishment_create	data_pool_price_governance
POST	/api/replenishment-beta/applications/{application_id}/lines		action_replenishment_create	data_pool_price_governance
DELETE	/api/replenishment-beta/applications/{application_id}/lines/{line_id}		action_replenishment_create	data_pool_price_governance
PATCH	/api/replenishment-beta/applications/{application_id}/lines/{line_id}		action_replenishment_create	data_pool_price_governance
POST	/api/replenishment-beta/applications/{application_id}/review-results		action_replenishment_review	
POST	/api/replenishment-beta/applications/{application_id}/revision		action_replenishment_create	data_pool_price_governance
POST	/api/replenishment-beta/applications/{application_id}/submit		action_replenishment_create	data_pool_price_governance
GET	/api/replenishment-beta/capabilities			
GET	/api/replenishment-beta/catalog			
